,Film,Director,Cast
34,Dumbo,Ben Sharpsteen Bill Roberts Jack Kinney John Elliotte Norman Ferguson Samuel Armstrong Wilfred Jackson,Hall Johnson:Harold Manley:James MacDonald:John McLeish:Malcolm Hutton
35,Roma,Alfonso Cuarón,Jorge Antonio Guerrero:José Luis López Gómez:José Manuel Guerrero Mendoza:Latin Lover:Zarela Lizbeth Chinolla Arellano
36,Ran,Akira Kurosawa,Hisashi Igawa:Kazuo Katô:Kenji Kodama:Mansai Nomura:Masayuki Yui:Mieko Harada:Norio Matsui:Peter:Takashi Watanabe:Toshiya Ito:Yoshiko Miyazaki
37,The Shop Around the Corner,Ernst Lubitsch,Charles Arnt:Charles Halton:Charles Smith:Joan Blair:Mary Carr
38,12 Angry Men,Sidney Lumet,E.G. Marshall:Ed Begley:Edward Binns:George Voskovec:Jack Klugman:Jack Warden:James Kelly:John Fiedler:Joseph Sweeney:Martin Balsam:Robert Webber:Rudy Bond:Tom Gorman
39,Manchester by the Sea,Kenneth Lonergan,Amanda Blattner:Anna Baryshnikov:Anthony Estrella:Ben Hanson:Ben O'Brien:Brian Chamberlain:C.J. Wilson:Casey Affleck:Chaunty Spillane:Danae Nason:Erica McDermott:Gretchen Mol:Heather Burns:Jeffrey Corazzini:Josh Hamilton:Kara Hayward:Kyle Chandler:Lewis D. Wheeler:Liam McNeill:Lucas Hedges:Mark Burzenski:Mary Mallen:Matthew Broderick:Michelle Williams:Missy Yager:Oscar Wahlberg:Quincy Tyler Bernstine:Richard Donelly:Robert Sella:Ruibo Qian:Stephanie Ann Saunders:Stephen Henderson:Susan Pourfar:Tate Donovan:Tom Kemp:Virginia Loring Cooke
40,Rosemary's Baby,Roman Polanski,Charles Grodin:D'Urville Martin:Elisha Cook Jr.:Emmaline Henry:Hanna Hertelendy:Hope Summers:Maurice Evans:Patsy Kelly:Phil Leeds:Ralph Bellamy:Ruth Gordon:Sidney Blackmer:Victoria Vetri
41,The Maltese Falcon,John Huston,Charles Drake:Chester Gan:James Burke:John Hamilton:Murray Alper
42,12 Years a Slave,Steve McQueen,Adepero Oduye:Alfre Woodard:Ashley Dyke:Benedict Cumberbatch:Bill Camp:Brad Pitt:Bryan Batt:Cameron Zeigler:Chiwetel Ejiofor:Chris Chalk:Christopher Berry:Craig Tate:Dickie Gravois:Dwight Henry:Garret Dillahunt:Kelsey Scott:Lupita Nyong'o:Marcus Lyle Brown:Michael Fassbender:Michael K. Williams:Mister Mackey Jr.:Paul Dano:Paul Giamatti:Quvenzhané Wallis:Ruth Negga:Sarah Paulson:Scoot McNairy:Taran Killam:Tom Proctor:Tony Bentley
43,Killer of Sheep,Charles Burnett,Angela Burnett:Charles Bracy:Chris Terrill:Eugene Cherry:Henry G. Sanders:Homer Jai:Jack Drummond:Johnny Smoke:Kaycee Moore:Lawrence Pierott:Russell Miles
